Location,Household Total,Median,Mean
"Ada County, Idaho",167026.0,61301.0,81878.0
"Bannock County, Idaho",30106.0,48429.0,64287.0
"Bonneville County, Idaho",38464.0,59706.0,75108.0
"Canyon County, Idaho",69859.0,48437.0,57499.0
"Kootenai County, Idaho",58875.0,51765.0,66843.0
"Twin Falls County, Idaho",30119.0,51210.0,64321.0
"Adams County, Illinois",27414.0,51624.0,70474.0
"Champaign County, Illinois",81856.0,50335.0,70900.0
"Cook County, Illinois",1963973.0,60046.0,86514.0
"DeKalb County, Illinois",36690.0,59285.0,75593.0
"DuPage County, Illinois",341320.0,84908.0,111236.0
"Kane County, Illinois",175360.0,73347.0,96716.0
"Kankakee County, Illinois",39314.0,54911.0,68588.0
"Kendall County, Illinois",40752.0,90482.0,101320.0
"Lake County, Illinois",244390.0,83152.0,119261.0
"Grand Traverse County, Michigan",37252.0,58532.0,81079.0
"Ingham County, Michigan",111779.0,49139.0,65974.0
"Isabella County, Michigan",23920.0,41868.0,57935.0
"Jackson County, Michigan",59993.0,50009.0,65570.0
"Kalamazoo County, Michigan",102336.0,53138.0,73094.0
"Kent County, Michigan",238472.0,59668.0,79579.0
"Lapeer County, Michigan",33178.0,54309.0,68702.0
"Lenawee County, Michigan",37781.0,51918.0,67726.0
"Livingston County, Michigan",70787.0,78038.0,98029.0
"Macomb County, Michigan",342255.0,60143.0,76249.0
"Marquette County, Michigan",25822.0,51275.0,63954.0
"Midland County, Michigan",34381.0,57269.0,78311.0
"Monroe County, Michigan",58789.0,60799.0,74036.0
"Muskegon County, Michigan",65437.0,44264.0,56512.0
"Oakland County, Michigan",500750.0,71920.0,100091.0
"Ottawa County, Michigan",100425.0,64513.0,79662.0
"Saginaw County, Michigan",78494.0,45849.0,60525.0
"St. Clair County, Michigan",65681.0,51864.0,65798.0
"Shiawassee County, Michigan",28071.0,53244.0,66951.0
"Van Buren County, Michigan",29337.0,47917.0,69730.0
"Washtenaw County, Michigan",140079.0,65601.0,94215.0
"Wayne County, Michigan",677208.0,43464.0,63254.0
"Anoka County, Minnesota",126477.0,76533.0,90703.0
"Blue Earth County, Minnesota",25687.0,53869.0,70588.0
"Carver County, Minnesota",36784.0,92455.0,119835.0
"Dakota County, Minnesota",159765.0,78662.0,98463.0
"Hennepin County, Minnesota",502061.0,71200.0,100769.0
"Olmsted County, Minnesota",61357.0,72428.0,92336.0
"Ramsey County, Minnesota",208743.0,60369.0,81980.0
"Rice County, Minnesota",22895.0,69135.0,82572.0
"St. Louis County, Minnesota",85170.0,49825.0,65805.0
"Scott County, Minnesota",48237.0,88765.0,107281.0
"Sherburne County, Minnesota",31574.0,83675.0,92885.0
"Stearns County, Minnesota",58656.0,57728.0,73092.0
"Washington County, Minnesota",92384.0,90256.0,109140.0
"Wright County, Minnesota",47571.0,74190.0,89793.0
"DeSoto County, Mississippi",61039.0,64505.0,79338.0
"Forrest County, Mississippi",28007.0,37275.0,60356.0
"Harrison County, Mississippi",75266.0,42770.0,57091.0
"Hinds County, Mississippi",91065.0,43657.0,62946.0
"Jackson County, Mississippi",51637.0,54606.0,65081.0
"Jones County, Mississippi",24901.0,43350.0,59391.0
"Lauderdale County, Mississippi",28457.0,42364.0,54707.0
"Lee County, Mississippi",33209.0,42235.0,58146.0
"Madison County, Mississippi",38251.0,64350.0,91739.0
"Rankin County, Mississippi",56353.0,62332.0,75468.0
"Boone County, Missouri",68848.0,52752.0,70450.0
"Buchanan County, Missouri",33971.0,48550.0,63459.0
"Cape Girardeau County, Missouri",29384.0,50223.0,68935.0
"Cass County, Missouri",38983.0,63420.0,77446.0
"Christian County, Missouri",30920.0,53172.0,67120.0
"Clay County, Missouri",89398.0,65430.0,80536.0
"Cole County, Missouri",29995.0,55303.0,69868.0
"Franklin County, Missouri",40023.0,55359.0,74134.0
"Greene County, Missouri",121734.0,42062.0,59033.0
"Jackson County, Missouri",281910.0,50815.0,70180.0
"Jasper County, Missouri",45730.0,45786.0,60014.0
"Jefferson County, Missouri",83754.0,61559.0,71054.0
"Platte County, Missouri",37929.0,77581.0,96923.0
"St. Charles County, Missouri",143152.0,80644.0,96421.0
"St. Francois County, Missouri",24350.0,45431.0,54546.0
"St. Louis County, Missouri",403271.0,62572.0,93352.0
"St. Louis city, Missouri",139021.0,40346.0,61944.0
"Cascade County, Montana",33759.0,45138.0,62658.0
"Flathead County, Montana",39279.0,50142.0,70136.0
"Gallatin County, Montana",39644.0,61211.0,91957.0
"Lewis and Clark County, Montana",27283.0,63475.0,81497.0
"Missoula County, Montana",47725.0,46550.0,70910.0
"Yellowstone County, Montana",65019.0,57945.0,74760.0
"Douglas County, Nebraska",214073.0,58990.0,81035.0
"Lancaster County, Nebraska",122027.0,58845.0,76116.0
"Sarpy County, Nebraska",64863.0,73569.0,88354.0
"Clark County, Nevada",755258.0,54384.0,72277.0
"Washoe County, Nevada",174726.0,58175.0,81564.0
"Cheshire County, New Hampshire",29428.0,56364.0,73110.0
"Grafton County, New Hampshire",33546.0,61520.0,92962.0
"Hillsborough County, New Hampshire",158777.0,76254.0,93120.0
"Merrimack County, New Hampshire",57531.0,69505.0,88153.0
"Rockingham County, New Hampshire",119688.0,81726.0,105809.0
"Strafford County, New Hampshire",48351.0,71295.0,88380.0
"Atlantic County, New Jersey",96777.0,56778.0,77520.0
