"McHenry County, Illinois","308,570.00"
"Lubbock County, Texas","307,412.00"
"Albany County, New York","307,117.00"
"Northampton County, Pennsylvania","304,807.00"
"St. Louis city, Missouri","302,838.00"
"Lexington County, South Carolina","295,032.00"
"Dutchess County, New York","293,718.00"
"Cumberland County, Maine","293,557.00"
"Ingham County, Michigan","292,735.00"
"Leon County, Florida","292,502.00"
"Greene County, Missouri","291,923.00"
"Anchorage Municipality, Alaska","291,538.00"
"Gloucester County, New Jersey","291,408.00"
"Ottawa County, Michigan","290,494.00"
"Clayton County, Georgia","289,615.00"
"Chatham County, Georgia","289,195.00"
"Thurston County, Washington","286,419.00"
"Winnebago County, Illinois","284,081.00"
"San Luis Obispo County, California","284,010.00"
"Cleveland County, Oklahoma","281,669.00"
"Dauphin County, Pennsylvania","277,097.00"
"Webb County, Texas","275,910.00"
"Merced County, California","274,765.00"
"Santa Cruz County, California","274,255.00"
"York County, South Carolina","274,118.00"
"Benton County, Arkansas","272,608.00"
"Erie County, Pennsylvania","272,061.00"
"St. Joseph County, Indiana","270,771.00"
"Alachua County, Florida","269,956.00"
"Kitsap County, Washington","269,805.00"
"New London County, Connecticut","266,784.00"
"Atlantic County, New Jersey","265,429.00"
"Kalamazoo County, Michigan","264,870.00"
"Madison County, Illinois","264,461.00"
"Brown County, Wisconsin","263,378.00"
"St. Clair County, Illinois","261,059.00"
"Marin County, California","259,666.00"
"Washington County, Minnesota","259,201.00"
"Buncombe County, North Carolina","259,103.00"
"St. Tammany Parish, Louisiana","258,111.00"
"Weber County, Utah","256,359.00"
"Frederick County, Maryland","255,648.00"
"Jefferson County, Texas","255,001.00"
"McLennan County, Texas","254,607.00"
"St. Johns County, Florida","254,261.00"
"Cherokee County, Georgia","254,149.00"
"Harford County, Maryland","253,956.00"
"Yakima County, Washington","251,446.00"
"Cumberland County, Pennsylvania","251,423.00"
"Clay County, Missouri","246,365.00"
"Norfolk city, Virginia","244,076.00"
"Caddo Parish, Louisiana","242,922.00"
"Lafayette Parish, Louisiana","242,782.00"
"Chesapeake city, Virginia","242,634.00"
"Arlington County, Virginia","237,521.00"
"Hinds County, Mississippi","237,085.00"
"Washington County, Arkansas","236,961.00"
"Forsyth County, Georgia","236,612.00"
"Union County, North Carolina","235,908.00"
"New Hanover County, North Carolina","232,274.00"
"Warren County, Ohio","232,173.00"
"Yavapai County, Arizona","231,993.00"
"Williamson County, Tennessee","231,729.00"
"Butte County, California","231,256.00"
"Lake County, Ohio","230,514.00"
"Smith County, Texas","230,221.00"
"Henry County, Georgia","230,220.00"
"Saratoga County, New York","230,163.00"
"Mahoning County, Ohio","229,642.00"
"Oneida County, New York","229,577.00"
"Sussex County, Delaware","229,286.00"
"Richmond city, Virginia","228,783.00"
"Brazos County, Texas","226,758.00"
"Linn County, Iowa","225,909.00"
"Montgomery County, Alabama","225,763.00"
"Whatcom County, Washington","225,685.00"
